"sku";"name_en";"short_desc_en";"price";"salable";"stock_qty";"in_stock";"ProductId";"purchasable";"brand";"manual_categories"
"RAI0001";"Silver Rain Design mStand Support";"Aluminum support compatible with all MacBook";"59.99";1;25;1;309;1;"Rain Design";"accessories"
"APP0017";"Apple Mac Keyboard Keypad Spanish";"USB ultrathin keyboard Apple Mac Spanish.";"59";0;0;0;321;0;"Apple";"accessories"
"APP0019";"Mighty Mouse Apple Mouse for Mac";"mouse Apple USB cable.";"59";0;0;0;322;0;"Apple";"accessories"
"APP0066";"Apple Dock to USB Cable iPhone and iPod white";"IPhone dock and USB Cable Apple iPod.";"25";1;1;0;326;1;"Apple";"accessories"
"KIN0001";"Mac Memory Kingston 2GB 667MHz DDR2 SO-DIMM";"2GB RAM Mac mini and iMac (2006/07) MacBook Pro (2006/07/08).";"34.99";0;2;1;329;0;"Kingston";"accessories"
"APP0067";"Apple Composite AV Cable iPhone and iPod white";"IPhone and iPod AV Cable Dock to Composite Video.";"45";1;1;0;330;1;"Apple";"accessories"
"KIN0002";"Mac Memory Kingston 1GB 667MHz DDR2 SO-DIMM";"1GB RAM Mac mini and iMac (2006/07) MacBook Pro (2006/07/08).";"18.99";0;0;0;331;0;"Kingston";"accessories"
"KIN0003";"Mac Memory Kingston 2GB 800MHz DDR2 SO-DIMM";"2GB RAM iMac with Intel Core 2 Duo (Penryn).";"36.99";0;0;0;332;0;"Kingston";"accessories"
"KIN0001-2";"Mac memory Kingston 4GB (2x2GB) 667MHz DDR2 SO-DIMM";"RAM 4GB (2x2GB) Mac mini and iMac (2006/07) MacBook Pro (2006/07/08).";"74";0;0;0;333;0;"Kingston";"accessories"
"APP0094";"Apple Adapter Mini Display Port to VGA";"Adapter Mini Display Port to VGA MacBook and MacBook Pro (unibody).";"35";1;1;0;334;1;"Apple";"accessories"
"APP0095";"Apple Mini DisplayPort to DVI Adapter";"Adapter mini DisplayPort to DVI MacBook and MacBook Pro (unibody).";"35";1;1;0;335;1;"Apple";"accessories"
"SEN0015";"Sennheiser CX 300-II Precision headphones iPhone iPad and iPod black";"Headphones iPhone iPad iPad 2 iPad 3 and iPod.";"49.99";0;0;0;337;0;"NA";"accessories"
"APP0105";"Apple USB Ethernet Adapter Mac";"USB to Ethernet adapter Mac.";"35";1;1;0;341;1;"Apple";"accessories"
"APP0150";"45W MagSafe charger Apple MacBook Air";"Charger MacBook Air MagSafe 45 W (MC747Z / A).";"89";1;1;0;355;1;"Apple";"accessories"
"MOS0007";"Adapter Moshi FireWire 400 to FireWire 800";"FireWire 400 adapter cable FireWire 800.";"20";1;0;0;356;0;"Moshi";"accessories"
"MOS0015";"Clearguard Moshi MacBook Pro and Air";"Keyboard Protector MacBook Pro 13-inch Retina 15 inches 17 inches 13 inches 15 inches and 13-inch Air.";"24.95";0;0;0;358;0;"Moshi";"accessories"
"APP0200";"60W MagSafe charger Apple MacBook and MacBook Pro 13 ";"Charger MacBook and 13 inch MacBook MagSafe 60 W (MC461Z / A).";"89";1;3;1;367;1;"Apple";"accessories"
"HGD0001";"Henge Docks Docking Station MacBook Pro 13 ";"Dock and support with multiple connections for MacBook Pro 13-inch.";"69.99";0;0;0;373;0;"Henge Docks";"accessories"
"MUV0003";"Muvit Back Clear Case iPhone 4 / 4S Transparent";"Case iPhone 4 / 4S polycarbonate.";"9.99";0;0;0;374;0;"Muvit";"accessories"
"APP0228";"Apple Dock Connector to VGA";"Dock Connector to VGA IOS.";"35";0;0;0;375;0;"Apple";"accessories"
